extremums_order,fee,fee_flat,interest,max_immo,min_days_before_abort,order_shift,order_threshold,period,sell_trigger_long,sell_trigger_short,start_cash,total_profit,verif_size
5,0.0002,,-0.4,5000000,5,15,1.5,5,zero crossing,zero crossing,50000,-18234.1,1
5,0.0002,,1.1,5000000,5,15,1.5,5,zero crossing,zero crossing,50000,54271.6,1
5,0.0002,,0.3,5000000,5,15,1.5,5,zero crossing,zero crossing,50000,13644.6,1
5,0.0002,,1.1,5000000,5,15,1.5,5,zero crossing,zero crossing,50000,56125.6,1
5,0.0002,,-0.0,5000000,5,15,1.5,5,zero crossing,zero crossing,50000,-2405.1,1
5,0.0002,,1.9,5000000,5,15,1.5,5,zero crossing,zero crossing,50000,94273.0,1
5,0.0002,,4.1,5000000,5,15,1.5,5,zero crossing,zero crossing,500000,206799.1,1
5,0.0002,,61.4,5000000,5,15,1.5,5,zero crossing,zero crossing,50000,3069402.6,1
5,0.0002,,58.2,5000000,5,15,1.5,5,zero crossing,zero crossing,50000,2910210.4,1
5,0.0002,,29.9,5000000,5,15,1.5,5,zero crossing,zero crossing,25000,1495912.8,1
5,0.0002,,0.5,5000000,5,15,1.0,5,zero crossing,zero crossing,25000,23599.3,1
5,0.0002,,0.5,5000000,5,15,1.0,5,zero crossing,zero crossing,25000,23599.3,1
5,0.0002,,0.5,5000000,5,15,1.0,5,zero crossing,zero crossing,25000,23599.3,1
5,0.0002,,0.5,5000000,5,15,1.0,5,zero crossing,zero crossing,25000,23599.3,1
5,0.0002,,0.5,5000000,5,15,1.0,5,zero crossing,zero crossing,25000,23599.3,1
5,0.0002,,0.5,5000000,5,15,1.0,5,zero crossing,zero crossing,25000,23599.3,1
5,0.0002,,0.5,5000000,5,15,1.0,5,zero crossing,zero crossing,25000,23599.3,1
5,0.0002,,0.5,5000000,5,15,1.0,5,zero crossing,zero crossing,25000,23599.3,1
5,0.0002,,0.5,5000000,5,15,1.0,5,zero crossing,zero crossing,25000,23599.3,1
5,0.0002,,0.5,5000000,5,15,1.0,5,zero crossing,zero crossing,25000,23599.3,1
5,0.0002,,0.5,5000000,5,15,1.0,5,zero crossing,zero crossing,25000,23599.3,1
5,0.0002,,0.5,5000000,5,15,1.0,5,zero crossing,zero crossing,25000,23599.3,1
5,0.0002,,0.5,5000000,5,15,1.0,5,zero crossing,zero crossing,25000,23599.3,1
5,0.0002,,0.5,5000000,5,15,1.0,5,zero crossing,zero crossing,25000,23599.3,1
5,0.0002,,0.5,5000000,5,15,1.0,5,zero crossing,zero crossing,25000,23599.3,1
5,0.0002,,1.7,5000000,5,15,2.0,5,zero crossing,zero crossing,100000,87195.3,1
5,0.0002,,75.1,5000000,5,15,2.0,5,zero crossing,zero crossing,100000,3755514.2,1
5,5e-06,,811.1,5000000,5,15,0.75,5,zero crossing,zero crossing,2000000,40555758.0,1
5,5e-06,,1035.2,5000000,5,15,0.75,5,zero crossing,zero crossing,2000000,51757579.6,1
5,5e-06,,29.8,5000000,5,15,0.75,5,zero crossing,zero crossing,2000000,1490391.3,1
5,0.005,,13.6,5000,5,15,0.75,5,zero crossing,zero crossing,2000,678.0,1
5,0.005,,13.6,5000,5,15,0.75,5,zero crossing,zero crossing,2000,678.0,1
5,0.005,,13.6,5000,5,15,0.75,5,zero crossing,zero crossing,2000,678.0,1
5,0.01,,-6.7,5000,5,15,0.75,5,zero crossing,zero crossing,1000,-332.8,1
5,0.02,,-26.9,5000,5,15,0.75,5,zero crossing,zero crossing,500,-1342.7,1
5,0.02,,29.9,5000,5,15,0.75,5,zero crossing,zero crossing,500,1495.0,1
5,0.0,,782.9,5000,5,15,0.3,5,zero crossing,zero crossing,500,39142.9,1
5,0.0,,23.7,5000000,5,15,0.3,5,zero crossing,zero crossing,80000,1185287.4,1
5,0.0,,14.8,5000000,5,15,0.3,5,zero crossing,zero crossing,80000,738399.4,1
5,0.0,,18.2,5000000,5,15,0.3,5,zero crossing,zero crossing,100000,907682.9,1
5,0.0,,74.2,5000000,5,15,0.3,5,zero crossing,zero crossing,200000,3710870.7,1
5,0.0,,65.1,5000000,5,15,0.3,5,zero crossing,zero crossing,200000,3253556.0,1
5,0.0,,70.3,5000000,5,15,0.3,5,zero crossing,zero crossing,200000,3514507.3,1
5,0.0,,50.9,5000000,5,15,0.3,5,zero crossing,zero crossing,120000,2545382.8,1
5,0.0,,77.1,5000000,5,5,0.25,5,zero crossing,zero crossing,65000,3853869.2,1
5,0.0,,0.2,5000000,5,5,0.25,5,zero crossing,zero crossing,65000,9808.7,1
5,0.0,,0.3,5000000,5,5,0.25,5,zero crossing,zero crossing,65000,14431.1,1
5,0,,0.1,5000000,5,5,1,5,zero crossing,zero crossing,65000,6789.0,1
